Farm_ID,District,Crop,N,P,K,Moisture,pH,Temperature,Humidity,NDVI
F001,Davanagere,Rice,54,47,70,57,5.7,34,89,0.89
F001,Davanagere,Rice,77,26,56,76,6.3,34,76,0.74
F001,Davanagere,Rice,67,35,63,55,6.9,34,70,0.87
F001,Davanagere,Rice,75,37,69,77,5.6,30,84,0.85
F001,Davanagere,Rice,51,40,51,73,5.6,29,88,0.76
F002,Davanagere,Rice,71,34,65,67,6.4,26,88,0.79
F002,Davanagere,Rice,51,32,67,69,6.4,30,90,0.89
F002,Davanagere,Rice,58,36,59,72,6.6,29,90,0.7
F002,Davanagere,Rice,78,38,40,59,5.7,35,75,0.77
F002,Davanagere,Rice,73,40,45,66,5.5,28,90,0.81
F003,Davanagere,Rice,67,34,45,60,6.2,30,79,0.78
F003,Davanagere,Rice,67,48,51,65,6.3,31,89,0.7
F003,Davanagere,Rice,47,34,65,60,6.5,33,70,0.78
F003,Davanagere,Rice,61,46,69,77,6.8,29,76,0.76
F003,Davanagere,Rice,59,44,47,75,6.5,29,79,0.76
F004,Davanagere,Sugarcane,76,58,62,83,6.1,27,81,0.77
F004,Davanagere,Sugarcane,76,35,69,72,6.5,32,67,0.8
F004,Davanagere,Sugarcane,62,47,60,78,6.6,32,85,0.78
F004,Davanagere,Sugarcane,60,56,73,70,6.4,37,72,0.9
F004,Davanagere,Sugarcane,72,32,62,77,6.3,27,76,0.9
F005,Davanagere,Sugarcane,64,52,55,84,7.4,34,70,0.87
F005,Davanagere,Sugarcane,66,53,50,80,7.4,27,78,0.87
F005,Davanagere,Sugarcane,96,44,79,68,6.4,28,73,0.82
F005,Davanagere,Sugarcane,99,55,75,75,6.0,28,79,0.76
F005,Davanagere,Sugarcane,100,34,61,76,6.6,35,79,0.77
F006,Davanagere,Sugarcane,75,58,50,84,7.0,29,82,0.87
F006,Davanagere,Sugarcane,73,31,73,75,6.4,33,74,0.86
F006,Davanagere,Sugarcane,95,45,71,83,6.7,35,67,0.9
F006,Davanagere,Sugarcane,94,41,81,77,6.0,33,70,0.78
F006,Davanagere,Sugarcane,90,41,53,71,7.1,35,74,0.81
F007,Davanagere,Maize,80,34,63,68,6.0,31,59,0.76
F007,Davanagere,Maize,60,29,54,54,6.9,20,57,0.76
F007,Davanagere,Maize,66,42,49,45,6.3,28,63,0.83
F007,Davanagere,Maize,60,37,49,66,7.0,28,71,0.75
F007,Davanagere,Maize,78,35,50,45,7.0,27,59,0.76
F008,Davanagere,Maize,61,29,64,55,6.0,24,64,0.71
F008,Davanagere,Maize,75,45,43,64,5.8,29,57,0.84
F008,Davanagere,Maize,51,38,65,64,6.3,30,68,0.72
F008,Davanagere,Maize,50,32,41,56,6.2,27,64,0.72
F008,Davanagere,Maize,57,41,50,69,6.9,20,56,0.77
F009,Davanagere,Maize,66,25,41,55,7.1,23,74,0.8
F009,Davanagere,Maize,58,29,62,46,6.1,28,66,0.74
F009,Davanagere,Maize,76,34,52,57,5.9,29,55,0.83
F009,Davanagere,Maize,54,31,52,48,6.7,27,66,0.81
F009,Davanagere,Maize,76,44,55,63,6.5,27,71,0.71
F010,Davanagere,Wheat,50,32,43,44,6.5,17,72,0.68
F010,Davanagere,Wheat,48,24,54,62,7.2,23,60,0.63
F010,Davanagere,Wheat,56,39,51,56,6.6,19,58,0.72
F010,Davanagere,Wheat,68,24,45,47,6.7,27,73,0.78
F010,Davanagere,Wheat,58,36,46,52,6.4,27,67,0.65
F011,Davanagere,Wheat,66,29,43,41,6.3,28,51,0.81
F011,Davanagere,Wheat,62,20,57,47,6.8,26,72,0.77
F011,Davanagere,Wheat,42,34,35,57,6.8,27,68,0.75
F011,Davanagere,Wheat,43,31,45,48,6.6,16,55,0.66
F011,Davanagere,Wheat,56,31,59,42,6.1,20,72,0.79
F012,Davanagere,Wheat,44,34,49,62,7.3,22,63,0.71
F012,Davanagere,Wheat,62,26,39,59,6.5,20,73,0.74
F012,Davanagere,Wheat,42,21,53,58,7.0,22,52,0.76
F012,Davanagere,Wheat,50,30,54,50,6.9,15,63,0.79
F012,Davanagere,Wheat,59,40,38,60,6.2,18,72,0.76
F013,Ballari,Rice,74,48,61,75,6.0,32,86,0.78
F013,Ballari,Rice,46,31,46,75,6.4,31,83,0.78
F013,Ballari,Rice,59,31,65,59,6.6,31,80,0.86
F013,Ballari,Rice,68,44,53,55,5.8,30,74,0.8
F013,Ballari,Rice,67,39,70,58,7.0,33,73,0.81
F014,Ballari,Rice,54,49,47,55,6.1,32,86,0.74
F014,Ballari,Rice,63,31,60,76,7.0,32,84,0.75
F014,Ballari,Rice,62,43,54,57,6.5,31,72,0.71
F014,Ballari,Rice,64,46,63,78,5.8,31,84,0.84
F014,Ballari,Rice,73,34,58,68,5.5,29,88,0.79
F015,Ballari,Rice,49,41,52,80,6.4,32,84,0.73
F015,Ballari,Rice,79,45,47,55,5.6,35,89,0.89
F015,Ballari,Rice,71,25,48,58,6.0,33,90,0.89
F015,Ballari,Rice,63,46,42,64,7.0,31,85,0.86
F015,Ballari,Rice,72,49,46,75,6.6,34,74,0.85
F016,Ballari,Sugarcane,82,38,69,62,6.9,28,73,0.79
F016,Ballari,Sugarcane,66,49,54,83,6.1,35,66,0.9
F016,Ballari,Sugarcane,91,37,90,63,6.3,29,65,0.83
F016,Ballari,Sugarcane,95,33,73,65,6.3,33,73,0.81
F016,Ballari,Sugarcane,69,33,90,80,6.4,25,78,0.87
F017,Ballari,Sugarcane,79,56,53,80,6.0,33,67,0.88
F017,Ballari,Sugarcane,69,32,60,73,7.3,32,67,0.89
F017,Ballari,Sugarcane,85,56,85,79,7.4,31,82,0.9
F017,Ballari,Sugarcane,88,59,64,67,6.4,37,82,0.91
F017,Ballari,Sugarcane,93,34,58,74,7.3,35,71,0.76
F018,Ballari,Sugarcane,89,31,70,85,7.3,34,80,0.78
F018,Ballari,Sugarcane,60,39,66,68,6.3,31,85,0.77
F018,Ballari,Sugarcane,73,36,65,80,7.5,25,80,0.78
F018,Ballari,Sugarcane,96,58,51,64,6.0,28,72,0.91
F018,Ballari,Sugarcane,73,41,50,85,7.3,29,67,0.81
F019,Ballari,Maize,61,25,45,46,7.1,27,72,0.66
F019,Ballari,Maize,67,28,62,50,7.0,30,65,0.73
F019,Ballari,Maize,66,29,50,59,6.6,20,80,0.74
F019,Ballari,Maize,64,44,58,45,6.7,22,65,0.81
F019,Ballari,Maize,67,30,65,66,6.6,28,74,0.66
F020,Ballari,Maize,62,33,57,63,7.2,32,59,0.67
F020,Ballari,Maize,74,32,63,60,6.8,32,64,0.74
F020,Ballari,Maize,73,36,57,68,7.0,31,60,0.78
F020,Ballari,Maize,68,42,58,55,6.2,20,59,0.75
F020,Ballari,Maize,73,37,45,64,5.9,28,61,0.78
F021,Ballari,Maize,55,45,61,52,6.1,21,61,0.7
F021,Ballari,Maize,78,37,67,52,6.4,31,75,0.8
F021,Ballari,Maize,58,35,56,64,6.8,22,59,0.69
F021,Ballari,Maize,53,35,57,51,7.1,26,78,0.79
F021,Ballari,Maize,63,39,65,70,7.0,29,71,0.72
F022,Ballari,Wheat,57,20,61,44,6.1,21,55,0.8
F022,Ballari,Wheat,41,35,54,51,6.7,22,67,0.72
F022,Ballari,Wheat,43,38,45,53,6.6,15,65,0.71
F022,Ballari,Wheat,56,40,65,61,6.8,27,60,0.81
F022,Ballari,Wheat,66,34,45,58,6.5,27,52,0.8
F023,Ballari,Wheat,64,31,60,58,7.3,16,58,0.65
F023,Ballari,Wheat,68,37,54,51,6.4,26,56,0.62
F023,Ballari,Wheat,42,31,43,40,7.2,15,73,0.67
F023,Ballari,Wheat,52,30,61,64,7.5,24,58,0.63
F023,Ballari,Wheat,41,40,47,57,7.0,25,62,0.75
F024,Ballari,Wheat,67,28,38,41,6.6,26,67,0.7
F024,Ballari,Wheat,40,35,41,42,6.7,25,60,0.77
F024,Ballari,Wheat,59,27,63,40,7.5,17,65,0.73
F024,Ballari,Wheat,58,40,47,56,7.1,23,73,0.61
F024,Ballari,Wheat,43,38,64,64,6.2,24,53,0.69
F025,Mysuru,Rice,80,28,61,67,5.8,35,82,0.84
F025,Mysuru,Rice,75,45,61,79,6.5,28,80,0.76
F025,Mysuru,Rice,45,26,70,58,6.6,29,84,0.82
F025,Mysuru,Rice,57,48,52,75,5.9,33,70,0.89
F025,Mysuru,Rice,69,47,68,62,6.7,34,90,0.73
F026,Mysuru,Rice,76,25,46,65,6.4,27,71,0.83
F026,Mysuru,Rice,64,42,41,57,5.7,32,90,0.74
F026,Mysuru,Rice,73,44,64,74,6.2,33,72,0.89
F026,Mysuru,Rice,66,44,63,77,6.0,27,82,0.83
F026,Mysuru,Rice,74,27,41,73,6.4,25,74,0.88
F027,Mysuru,Rice,53,47,40,71,5.9,33,74,0.83
F027,Mysuru,Rice,54,43,45,63,6.8,33,78,0.85
F027,Mysuru,Rice,62,39,69,77,6.6,30,70,0.75
F027,Mysuru,Rice,73,37,68,75,6.6,34,85,0.72
F027,Mysuru,Rice,45,50,43,66,6.3,34,78,0.76
F028,Mysuru,Sugarcane,79,35,71,62,6.1,28,84,0.85
F028,Mysuru,Sugarcane,92,49,53,65,6.9,29,74,0.82
F028,Mysuru,Sugarcane,65,35,78,63,6.4,32,81,0.85
F028,Mysuru,Sugarcane,73,51,52,80,7.0,26,76,0.75
F028,Mysuru,Sugarcane,76,56,52,85,6.7,26,72,0.91
F029,Mysuru,Sugarcane,78,47,87,65,7.5,32,70,0.91
F029,Mysuru,Sugarcane,100,55,65,78,7.0,25,72,0.77
F029,Mysuru,Sugarcane,96,31,83,80,6.4,28,67,0.78
F029,Mysuru,Sugarcane,66,51,59,73,6.8,35,67,0.78
F029,Mysuru,Sugarcane,96,30,72,66,7.5,31,77,0.84
F030,Mysuru,Sugarcane,76,53,89,61,6.6,33,66,0.76
F030,Mysuru,Sugarcane,100,51,75,60,6.9,37,78,0.91
F030,Mysuru,Sugarcane,98,33,72,76,7.4,25,82,0.79
F030,Mysuru,Sugarcane,75,41,90,75,6.3,37,81,0.78
F030,Mysuru,Sugarcane,73,55,55,84,6.8,34,75,0.86
F031,Mysuru,Maize,63,40,44,58,5.9,30,59,0.82
F031,Mysuru,Maize,68,36,51,60,6.7,20,61,0.79
F031,Mysuru,Maize,74,41,65,60,5.9,27,66,0.71
F031,Mysuru,Maize,74,29,48,52,5.9,32,60,0.84
F031,Mysuru,Maize,53,29,67,70,6.3,26,67,0.74
F032,Mysuru,Maize,77,44,41,48,6.8,21,56,0.8
F032,Mysuru,Maize,77,42,53,49,6.1,26,78,0.66
F032,Mysuru,Maize,59,25,42,61,7.0,29,56,0.71
F032,Mysuru,Maize,64,41,40,68,6.2,29,67,0.8
F032,Mysuru,Maize,63,42,58,45,6.4,28,71,0.79
F033,Mysuru,Maize,64,45,65,58,6.2,23,72,0.67
F033,Mysuru,Maize,77,33,46,65,6.4,28,61,0.66
F033,Mysuru,Maize,65,36,56,62,6.1,28,77,0.85
F033,Mysuru,Maize,75,26,47,55,6.2,25,79,0.83
F033,Mysuru,Maize,57,44,67,64,6.8,29,75,0.83
F034,Mysuru,Wheat,43,32,39,41,6.3,28,61,0.63
F034,Mysuru,Wheat,43,23,47,63,7.1,24,60,0.76
F034,Mysuru,Wheat,50,40,47,64,6.7,28,62,0.75
F034,Mysuru,Wheat,61,37,61,60,6.5,21,69,0.67
F034,Mysuru,Wheat,42,20,35,45,7.3,25,70,0.73
F035,Mysuru,Wheat,67,35,63,41,7.2,18,72,0.7
F035,Mysuru,Wheat,67,21,58,50,6.9,22,66,0.65
F035,Mysuru,Wheat,41,40,57,49,6.7,21,52,0.61
F035,Mysuru,Wheat,67,22,63,43,6.3,28,55,0.82
F035,Mysuru,Wheat,61,38,38,55,7.2,19,55,0.68
F036,Mysuru,Wheat,69,25,37,52,6.5,25,61,0.75
F036,Mysuru,Wheat,47,35,42,64,6.9,20,75,0.65
F036,Mysuru,Wheat,56,25,43,58,6.0,21,75,0.63
F036,Mysuru,Wheat,69,25,40,56,7.2,27,61,0.65
F036,Mysuru,Wheat,58,35,65,47,7.2,15,73,0.77
F037,Mandya,Rice,80,48,50,67,5.9,28,70,0.9
F037,Mandya,Rice,54,30,70,55,5.6,25,79,0.78
F037,Mandya,Rice,58,42,52,65,6.6,34,79,0.76
F037,Mandya,Rice,53,47,56,78,6.1,35,78,0.78
F037,Mandya,Rice,70,46,58,72,5.8,28,74,0.9
F038,Mandya,Rice,70,38,45,79,6.3,30,77,0.83
F038,Mandya,Rice,65,34,56,72,5.7,25,79,0.78
F038,Mandya,Rice,60,48,66,66,6.6,30,74,0.75
F038,Mandya,Rice,58,37,51,67,6.8,27,90,0.78
F038,Mandya,Rice,54,45,52,65,6.1,29,82,0.72
F039,Mandya,Rice,73,38,48,72,6.9,26,81,0.87
F039,Mandya,Rice,68,50,68,64,6.0,33,78,0.74
F039,Mandya,Rice,52,29,58,62,6.8,30,88,0.71
F039,Mandya,Rice,63,39,50,70,6.4,25,72,0.79
F039,Mandya,Rice,72,41,58,55,6.4,25,77,0.79
F040,Mandya,Sugarcane,63,41,64,84,7.0,37,69,0.89
F040,Mandya,Sugarcane,66,54,79,82,6.1,25,65,0.91
F040,Mandya,Sugarcane,84,46,83,73,7.1,26,72,0.92
F040,Mandya,Sugarcane,73,46,65,63,6.6,35,74,0.82
F040,Mandya,Sugarcane,60,60,66,84,6.3,28,67,0.87
F041,Mandya,Sugarcane,77,50,85,70,6.5,31,81,0.75
F041,Mandya,Sugarcane,79,45,87,76,6.2,28,84,0.9
F041,Mandya,Sugarcane,72,39,75,71,6.5,36,69,0.9
F041,Mandya,Sugarcane,67,60,79,84,7.2,38,82,0.9
F041,Mandya,Sugarcane,71,38,77,61,6.0,30,78,0.91
F042,Mandya,Sugarcane,61,39,87,63,7.0,37,72,0.8
F042,Mandya,Sugarcane,92,44,88,85,7.4,26,76,0.77
F042,Mandya,Sugarcane,76,37,77,65,6.6,31,65,0.84
F042,Mandya,Sugarcane,92,49,70,79,6.9,36,67,0.83
F042,Mandya,Sugarcane,75,31,67,83,6.5,31,67,0.88
F043,Mandya,Maize,68,33,60,61,6.4,25,60,0.84
F043,Mandya,Maize,71,35,63,53,6.7,31,73,0.67
F043,Mandya,Maize,60,33,58,58,6.9,31,68,0.79
F043,Mandya,Maize,58,45,68,48,6.8,31,79,0.77
F043,Mandya,Maize,64,42,64,45,6.0,32,74,0.73
F044,Mandya,Maize,63,38,45,61,5.9,21,61,0.75
F044,Mandya,Maize,69,31,48,55,6.2,31,63,0.82
F044,Mandya,Maize,50,32,62,59,6.7,27,80,0.76
F044,Mandya,Maize,70,27,50,59,6.0,22,67,0.76
F044,Mandya,Maize,60,27,48,61,6.7,25,71,0.7
F045,Mandya,Maize,77,30,46,58,6.5,31,74,0.66
F045,Mandya,Maize,65,42,47,68,6.2,32,72,0.76
F045,Mandya,Maize,59,26,42,54,6.2,24,68,0.84
F045,Mandya,Maize,68,44,56,66,6.3,23,72,0.78
F045,Mandya,Maize,77,31,61,49,6.5,26,57,0.72
F046,Mandya,Wheat,57,35,46,54,6.6,25,60,0.61
F046,Mandya,Wheat,42,29,53,62,6.3,22,59,0.76
F046,Mandya,Wheat,55,30,50,43,6.8,27,58,0.72
F046,Mandya,Wheat,56,24,50,63,7.4,23,62,0.68
F046,Mandya,Wheat,66,31,62,42,6.9,21,73,0.7
F047,Mandya,Wheat,70,20,40,64,7.2,20,64,0.79
F047,Mandya,Wheat,69,35,48,41,7.1,18,57,0.62
F047,Mandya,Wheat,57,25,50,48,6.3,24,72,0.72
F047,Mandya,Wheat,44,35,35,61,6.3,23,62,0.62
F047,Mandya,Wheat,58,25,37,58,6.4,22,72,0.77
F048,Mandya,Wheat,69,25,61,59,6.1,23,56,0.62
F048,Mandya,Wheat,53,24,64,57,7.3,21,61,0.82
F048,Mandya,Wheat,58,23,46,63,7.4,24,62,0.65
F048,Mandya,Wheat,45,36,40,62,6.7,15,74,0.71
F048,Mandya,Wheat,48,34,44,48,6.6,24,53,0.64
F049,Belagavi,Rice,57,41,41,61,5.5,29,75,0.86
F049,Belagavi,Rice,51,47,67,80,6.3,31,80,0.78
F049,Belagavi,Rice,60,45,63,62,5.7,31,71,0.76
F049,Belagavi,Rice,45,49,45,57,6.8,32,70,0.84
F049,Belagavi,Rice,68,48,60,55,7.0,25,84,0.8
F050,Belagavi,Rice,73,49,40,58,5.6,30,83,0.76
F050,Belagavi,Rice,71,37,57,62,6.5,27,76,0.79
F050,Belagavi,Rice,52,50,59,68,5.7,29,88,0.76
F050,Belagavi,Rice,47,36,62,56,5.7,26,71,0.75
F050,Belagavi,Rice,47,39,42,68,6.5,25,70,0.8
F051,Belagavi,Rice,76,45,53,72,5.8,31,74,0.84
F051,Belagavi,Rice,62,40,58,63,6.3,25,90,0.81
F051,Belagavi,Rice,57,34,48,67,5.6,34,79,0.71
F051,Belagavi,Rice,55,47,43,70,6.7,25,73,0.72
F051,Belagavi,Rice,47,26,66,55,6.0,35,82,0.79
F052,Belagavi,Sugarcane,97,47,74,66,7.0,27,74,0.81
F052,Belagavi,Sugarcane,60,35,76,71,7.2,27,67,0.85
F052,Belagavi,Sugarcane,82,44,72,78,7.0,34,80,0.89
F052,Belagavi,Sugarcane,91,41,55,71,6.3,33,85,0.88
F052,Belagavi,Sugarcane,89,49,50,73,6.7,33,77,0.83
F053,Belagavi,Sugarcane,62,50,59,76,6.8,27,80,0.89
F053,Belagavi,Sugarcane,76,49,82,70,6.2,27,67,0.85
F053,Belagavi,Sugarcane,65,32,74,66,7.3,29,77,0.84
F053,Belagavi,Sugarcane,71,32,68,73,6.7,25,74,0.77
F053,Belagavi,Sugarcane,70,56,87,74,7.1,33,82,0.81
F054,Belagavi,Sugarcane,64,32,75,74,6.7,31,76,0.87
F054,Belagavi,Sugarcane,75,56,54,83,7.0,33,85,0.76
F054,Belagavi,Sugarcane,98,41,87,83,6.5,36,69,0.79
F054,Belagavi,Sugarcane,70,57,59,63,7.4,31,68,0.85
F054,Belagavi,Sugarcane,98,59,67,71,6.5,37,70,0.81
F055,Belagavi,Maize,79,29,61,67,6.5,28,66,0.75
F055,Belagavi,Maize,61,31,43,53,6.2,31,62,0.83
F055,Belagavi,Maize,60,29,57,55,6.6,25,75,0.68
F055,Belagavi,Maize,68,32,56,46,7.1,32,64,0.71
F055,Belagavi,Maize,66,26,61,53,7.2,25,70,0.82
F056,Belagavi,Maize,78,31,50,45,6.8,32,77,0.7
F056,Belagavi,Maize,52,30,50,65,6.7,26,69,0.84
F056,Belagavi,Maize,51,26,65,63,6.4,24,73,0.7
F056,Belagavi,Maize,74,37,45,50,6.4,29,64,0.7
F056,Belagavi,Maize,62,41,42,59,7.1,24,78,0.67
F057,Belagavi,Maize,59,43,56,48,7.1,32,71,0.7
F057,Belagavi,Maize,71,32,50,57,6.3,31,76,0.77
F057,Belagavi,Maize,68,32,66,57,5.9,20,58,0.76
F057,Belagavi,Maize,70,30,40,51,6.9,30,80,0.7
F057,Belagavi,Maize,75,45,68,66,6.7,25,61,0.83
F058,Belagavi,Wheat,67,28,47,45,6.1,17,63,0.67
F058,Belagavi,Wheat,56,20,47,54,6.7,15,65,0.79
F058,Belagavi,Wheat,42,38,64,41,7.1,21,62,0.62
F058,Belagavi,Wheat,67,35,58,45,7.2,23,58,0.7
F058,Belagavi,Wheat,56,28,57,65,7.4,15,57,0.81
F059,Belagavi,Wheat,46,40,44,48,7.4,24,74,0.74
F059,Belagavi,Wheat,52,29,36,65,6.0,23,50,0.75
F059,Belagavi,Wheat,59,38,37,55,6.4,26,75,0.62
F059,Belagavi,Wheat,43,23,50,58,7.2,27,62,0.63
F059,Belagavi,Wheat,41,33,40,46,6.6,16,66,0.76
F060,Belagavi,Wheat,69,22,58,44,6.6,21,62,0.74
F060,Belagavi,Wheat,62,26,43,60,6.9,21,57,0.73
F060,Belagavi,Wheat,68,32,59,45,7.5,17,56,0.7
F060,Belagavi,Wheat,48,32,63,56,7.2,15,68,0.8
F060,Belagavi,Wheat,63,21,59,58,6.1,27,71,0.8
